date 8,date time,attacker id,att name,att power,att team,defender id,def name,def power,team,points,attacker patronage,defender patronage,att team id,def team id
20250412,12/4 15:09,4712527,HRCAK,1140090,Oli Mar Seb Mor Yas Aur,4341747,erdosman,1086979,Ruf K'A Dan Seb Mar Axe,20,Oli(11064) Alb(11064) Axe(11064) Fen(11064) Cai(11064),Oli(11064) Fen(11064) Cai(6676) Alb(9428) Axe(11064),183303,39706
20250412,12/4 18:44,4868542,stratis,1109970,Kho Dor Aug Ori Neb Dan,4368991,'9527,1084547,Isa Seb Hei Iri Mar Axe,20,Axe(11064) Alb(11064) Mer(11064)  ###  Cai(11064),Oli(11064) Fen(11064) Cai(11064) Alb(11064) Axe(11064),183303,39706
20250412,12/4 16:17,4454896,Team D,1137089,Kho Jet Aug Ori Neb Aur,4567329,cs33,1123015,Ruf Nin Hei Iri Dor Kho,20,Oli(11064) Kho(11064) Axe(11064)  ###  Cai(11064),Oli(11064) Fen(11064) Alb(11064) Bis(11064) Axe(11064),183303,39706
20250412,12/4 18:41,4668830,TrumpReturns,1090110,Axe Ori Seb Isa Ast Aur,6749952,G.G,947122,Dan Neb Ori Aug Dor Kho,20,Bis(11064) Alb(11064) Axe(11064) Oli(9018) Cai(11064),Cai(11064)  ###  Axe(11064) Alb(11064) Mer(11064),183303,39706
20250412,12/4 16:31,4868542,stratis,1039553,Axe Ori Seb Isa Ast Aur,6749990,Sen,1115492,Dan Neb Ori Aug Dor Kho,20,Bis(11064) Alb(11064) Axe(11064) Oli(11064) Cai(11064),Cai(11064)  ###  Axe(11064) Alb(11064) Mer(11064),183303,39706
20250412,12/4 18:40,4668830,TrumpReturns,920068,Axe Dor Aug Ori Mor Aur,6750016,REX,1036142,Aur Ruf Hei Iri Dor Kho,20,Axe(11064) Alb(11064) Bis(11064) Oli(9018) Cai(11064),Cai(10308) Bis(10462) Axe(11064) Oli(11064) Mer(10700),183303,39706
20250412,12/4 16:18,4454896,Team D,1154678,Axe Aug Ori Seb Isa Aur,6750054,nobody,1005889,Dan Neb Ori Aug Dor Kho,20,Kho(11064) Axe(11064) Fen(8200) Oli(11064) Cai(11064),Cai(11064)  ###  Axe(11064) Alb(11064) Mer(11064),183303,39706
20250412,12/4 14:35,4750576,NoCanDo,1049967,Axe Faf Iri Hei Mor Dan,6750877,J.F,1106343,Ruf Ish Dan Faf Mar Kho,20,Oli(11064) Bis(11064) Alb(11064) Axe(11064) Cai(11064),Bis(11064) Fen(11064) Cai(11064) Oli(11064) Axe(10154),183303,39706
20250412,12/4 14:40,23402789,Ragto,1155633,Kho Dor Aug Ori Neb Dan,20924106,banana,1117730,Ruf Jul Ami Neb Hei Kho,20,Mer(10588) Alb(11064) Axe(11064)  ###  Cai(11064),Bis(11064) Oli(11064) Axe(11064) Cai(11064) Alb(11064),183303,39706
20250412,12/4 12:57,4587443,Momi,1162077,Kho Aug Ori Neb Mor Dan,20924178,Xman,1057230,Aur Ruf Hei Iri Dor Kho,20,Alb(11064) Mer(11064) Cai(11064) Oli(11064) Fen(11064),Cai(11064) Bis(11064) Axe(11064) Oli(11064) Mer(11064),183303,39706
20250412,12/4 14:38,23402789,Ragto,1155633,Kho Dor Aug Ori Neb Dan,20924199,Mm33,1084632,Ruf Jul Ami Neb Hei Kho,20,Mer(10588) Alb(11064) Axe(11064)  ###  Cai(11064),Bis(11064) Axe(11064) Oli(11064) Cai(11064) Alb(11064),183303,39706
20250411,11/4 21:09,4454896,Team D,1144703,Kho Jet Aug Ori Seb Dan,4298947,Nitzky,1073738,Ruf Seb LaC Iri Faf Axe,20,###  Kho(11064) Axe(11064) Oli(11064) Cai(11064),Axe(11064) Fen(11064) Mar(11064) Alb(11064) Oli(11064),183303,187932
20250411,11/4 18:52,23402789,Ragto,1170416,Kho Dor Aug Ori Seb Dan,4702764,btshumi,1143903,Dan Neb Ori Aug Aid Kho,20,Mer(10546) Axe(11064) Bis(11064) Alb(11064) Cai(11064),Fen(11064) Cai(11064) Kho(11064) Alb(11064) Mer(11064),183303,187932
